,ANN_TRT,ETA_NUM,ETB_EXE_FIN,REG_ETA,SOC_RAI,STA_ETA,VAL_ETA
3684,AAYwe,820999147,HOnYYJ,XhyZoNovXjz,oURICtTBxceDqqQhrQkVSEQkGlfUnlhpwjZUfcjnRaaozYzAPHwTmbnFCkMYUwc,j,wyrrZlebWSYJYqMz
3685,x,319260418,,MfyBGDvABsBCQMSFmrRhpQhmpDbTe,GmHzzPov,,jBsmGagFWScXNSqFgz
3686,jAAvupP,276888339,,CuyXNAyrEurqaDGhVJMxVkHvB,FCtADTXamnMLPBTVRTBTHXhDjlIMFQSFSVVRtRLc,QEH,VILypnPc
3687,usEFp,479796174,qGCkbhKU,Y,DVCibkOIkhlEWiXutqmNmAJnXnPqnYcBvcIwoVZEHnuo,t,LROFWsGNCThKXSikzdw
3688,c,201354398,JNuHGZiK,NqBfBzDKgiD,rTPonYOeDRMlrAgOfhMjQUIUJZVDcfuEECmhdsHThWPHAVAiwQNTraiunMtWc,XRe,d
3689,bvRv,413444987,Fa,c,KP,z,WcwPxfDLNCIxbtt
3690,ccrE,796543095,SUC,cxcEtMjaraObsaUBFQPCfa,YjGieFXzSvU,C,yv
3691,ptqgpKC,248645243,t,czXvVUXLPofYwegA,IBAsncEAzDXTxWcY,fV,razMsPEqNAzGdLapDLF
3692,VAK,601335360,zoAPGoEL,XdFlwYyxMMrhwnQcw,avoKDEUUEtZIZZfEZUxMUuLKXPfGLJPQTAPwdyyoRlDJZ,q,EgrJpgVLnZX
3693,y,491235322,afQychB,TOnX,bSAIAmPKkEgVlKXP,os,
3694,VNYgov,492944923,NmnQzgp,fYUIBWXMlakMLJgkLRFcy,GbYhnhvOKtSXuiFHHkkYdFlAgkRZwKZWHzofepfIofHRCTBGUwLcsqYYMQcGelBlbIKzOXAUQ,kw,bdaL
3695,lquXkKl,636035835,EvXwzxJ,fXgkJHEvGtZOfJkUDyLdOnrbSRptCNCbgmHqmy,hfUsEhZivS,RL,apmPfej
3696,bgY,921227432,,FNUQGhWDNF,cQOuJUmshzYDKPdzJElXwgGIWbzgBfaBdyttAWgLsvGVOdio,,ApAhqpMPihsYiXthLnYD
3697,lfypL,471488759,heAAZo,fvXKUnRFWVExPninUTRpCvaeQ,fAdYKPxnvOXzyEsIGafTmVIFEsVQkWffNllQfbgfH,bIN,hZG
3698,ZPu,483916863,OY,OfpanrqbjqyOiGdiTFpmaCWBMmNhmjD,FyUqMKGoLdHxTyaiuEaJaMaZfWUu,lJi,muBcgrLWbRiTolm
3699,KYS,836671085,nIea,ViSsYLDixcjijOm,GFPU,SVL,BvPdkhyObSrtJHmzGZ
3700,x,461251843,NFtYNA,pCugwHztoctvdaNueLuyLUqCovmObVXduZtMYAo,yNHuvxAmD,,CLA
3701,UuDgTu,542927812,SRd,nQAwgqAyafkZxqaUivQo,zFkmNopIpDSDphRlWvVfOaiAdWAHudjfOMjoRpYqeWcqS,mMO,nocjz
3702,sVMn,720477092,TdpmbSvv,iNttVPegRYjMZvApdIfZznldWYrmELwgs,MXTLlGacezFNobHoHASocrwMOxb,v,rzJkIPBHEvOw
3703,Dh,110658549,Cln,,JBqTmfPtORPTZQtoLirgNkfoiIxZehsyROYwxBGzcQQMdnunxPolk,Tt,TzvnsZM
3704,RK,560903236,TIx,qrxMwtvywBTUwjoIwufnfiZA,KKOLHwkrTKqAdTLNeWNnyxRnKUFbbukDwPxGtrLoTTmfDzprTKiNFiawG,P,UBH
3705,IXEMWLk,813872834,CwLx,mNB,pjUhqekYVAhfBFYvlcjVzZKqTwXZdVKjLDuSqceVVDpDFzbzef,Yr,
3706,TDTv,289645196,GVrZUQ,sRjSICDIXGWDYrvnaTrbrTFozKKQ,mggxcgdyJxgaLAPTEZNFrPwFZ,RkU,XOdSbho
3707,mE,766252479,AyrZv,TcpSwjVGuHHoN,rsqKGdcnubdXhugLtRLCJHiiBscLhvnPByQwDyBlLZedoFaVM,V,rwKPwohpgkav
3708,XvuaYYE,753297032,ApKULkv,BHqkxsdtNRTfKEZOihHjaghXTWANJpJxDDnduJ,prmuF,kfR,pKGTeph
3709,QtTtj,456017978,rPgM,MVJoNuzgfVzpDwholhUNzhpsFXxSYtvYfLGr,lMWqAAkBPxKIJjPUIPYGrohtYapaPyYxXunielQb,,UiMkRIgOPBkZlqcUD
3710,ukJr,274106996,wEsSfOia,ljocCSePvzSVn,JgHWbZzgFRVaxviKARbBTScDVkJwFnfXQjqrwevhLXvYgdEQSQNLSLLipeMGkMhd,,FkaHAtZL
3711,f,697947212,G,yMbIbgTYOTyFnXuYBTTGoShhNpCPBAh,KfmCYotXYmuzURwmvmpPqtcMutSEK,YA,fpJEPbe
3712,Tht,230113491,Df,graTMOiuz,OlkoJFoMZcILPOMoRniyoOuJthYUjGOlRupMikMSBVnwQQTSLWrHGoGmUzq,,r
3713,hd,967249713,DNzbtF,QOTrNdNlJTJbEUHFYgKZvowMepOxVTlkhKOz,aQNOxM,qI,SAZPgUIbd
3714,iRpnZo,216820226,,coNjv,UHhkhlLRcaGfPKkMBYvmIiOEhbPdwXwjDCXBuFmOBHGrhVeQRZlrWbcb,,hoA
3715,LGXTc,139269871,HYIJI,DFYjeKGsfxYLuFwCeJgZGpJzdatEhaZKLOYNXp,tplQP,F,PxKe
3716,iPsMH,681227738,,iYaWwiTBLxgJJYislINGRGzHsqmnfl,xaCKepfAVVQ,,Nd
3717,Xb,244395754,yKqU,,ohdeUJhDz,gUG,MVyizWVPwBlvMKvyx
3718,AIbJhv,693592495,,bxbjIqeJNAlMudsk,uhktvrRrNyvhQbfcglrGxEeMuEXSBnTnvfGGHmHxaddMymOGFXmrGymsymXsoDaHWrBqmINTB,,JcDcIsmxguuc
3719,ex,397826557,KMxfrU,CrctFEBoDevDEiKwSSIuyOnwcdHCADvuApHQ,oJfEbDQfCuTfUPGsQlNhDiVzEQpowMZImcwgbSnIxwKCVWSRxvbFzsTrUVDjOoToeGZS,tHe,UQEtziyjmAArBxVtKQ
3720,iYwcH,720246412,uVZpdRl,zsDzuzUvxhsBUTk,AbAqGQOlZVknrBhzfUjXWWV,,rsHqVXgKq
3721,gik,352447326,,nIfedvFTXHqC,VaObtBnNyBdYSfeaZcscthRFURMBVsOolxjBwqRhaiIWpBjWA,,uPYmABVaYwkDDMJoQXBS
3722,,295339974,L,xLxVTIg,XcowfRlibwdLgjvxBphdaalaTJNqTln,mak,vnVnILBhQU
3723,fpHYf,274312552,vYoM,cEkoVNzrYzISFlRtGhEpTuY,MOwBHIwwkiJgWrpnFJJaHKEUGaMhAQQexGFVMaxgNb,nPm,JfefHIPDfBw
3724,wpLL,857002486,nHPHJg,qWTxyQEVebHTmxiiJwOyKasZOQCBgkUZicTZyb,IGRtf,,rXJfYJpYandkwzfnoP
3725,R,440037715,PmbFTl,gmXRJen,hMUUvdoZrsJQvNAKIawqvIWHJskCvdUoncVQqApmuyTvcLoGDwfYC,rzv,DeNzbSlkCwNL
3726,,110293454,,nvmrWgkBHwNTVAMGAvu,fiWfFPpkKEInwsYfNZUAyco,,xGoUvXmfKbHOLais
3727,akGzUR,704977411,,NekwRSmNgnCBZDFfWumjBtqUrqpNRPUFDFireD,ZXIfHxmQIyYUqhPvXaVvFn,,
3728,kF,205830314,XNym,WZs,ixZALgj,eZ,QbiyywhitLVd
3729,paW,576567519,YevmG,EOazIaXvzRUzLqnDHcpgrdRTEChakuTIbNts,XigDiZkKQMOHnDejBJzwKrHDvrTiQLxqKxcdMUpkVQUugAswaBYndHSW,zw,xjXzZWDiGzwoKd
3730,YG,569054559,,vQmyzlMwJRuaC,USwgRchaqWtpknSWWttbLtMwseVWlGVwCddhMDuDsmCFtWnwHBqPCSWyHLxpeylNFTR,XV,UqxceIaCJAmK
3731,tuTGfKC,491075539,DlOiKtSp,zmyjLBqNQCsUdizRxJsOQOtiKVZAcYrfzMZi,eOqanaFqrxLJdlmfhYYepGrSQYyykAAMgZeopMzCVjZygNGQtuHXZCTrkOyCloEhmfbE,w,m
3732,uuAXEQ,557095791,V,vHiuasQPQlgcKqRtJFRvGFhKyNFcsNDQdzfZcxP,vvDJsAJXQJtpyXSbFscmuVfWbUDpevPGqLXSHSAkrXMDDdyGS,,bYQWceOLmZJaYHHpp
3733,TCXCJY,836420183,ObUUksAl,cxwvMgNDFrXAQlIvPRO,ielSASjyzHAKBaHbHvQYHETgt,zF,pZOfvbJufrIVGplVEKJx
3734,YKjq,724921844,QxGk,FMAXqjbURvHSaKDrBkWHAQxriYQwrYPibZSclxj,HUmlzJJLeMAiGoxsTQJVFpdNdXBaEhyYdriFjUgCJWfQfEcJOCunoTpMIGtYbmEpqBeGDtuyV,JFA,xWzdAHVqupRTRZnudz
3735,GvoUBT,668796256,wenkQGIO,uoRyd,NPnVmRVclhmxuXOblhfMKTyikNHXLNERUdacwnzjkBLAgXcllEKeVkqkuSZezS,FJ,JKVM
3736,h,659015703,FlXj,ZkBSBqdzfZAqLJtrrLn,ShTEguEBKn,k,dZtbpYIOvZCpnM
3737,,345868687,bpE,IiHBGHslWyBjwkQHmpHJRkzTUqCqbMRfwSe,HoWvtnrbFSskixJOLneTohbGrw,M,rKVDFbHCXwDduWm
3738,,829288141,SpyirSN,hmpSplEbfwwhqfwe,jrDhtfJqusvvqJFwVaJgvAoMhcvZVlidhwexkv,rX,fmuWoYuDnSAsidPK
3739,KzSh,403930953,kKZJjD,UKxfcUCsWqaGJHHeoYsnYstAKIr,PXodVbVLmMjxXYtWZYcMeuggJLVjbXXJcrtCCtRdzBUTxHOAhcclWANGHcd,TH,
3740,,513342087,,IvfgDUMHKIQEoq,ZQLFiwBIhqrJAkOrdoIMFkdrAubFxYACdFdsraqTDStJTacEmVipmZRInCapXpk,dcP,vzePTzKfCrq
3741,ar,302991204,f,eAWnrvtlnZWz,DPezqMeIeGGLtmiBYAvtTLJjVXHLzlKtgzKLAxWHbAKOZtSI,mq,SgHAxs
3742,VJkZ,397180546,h,UqisTQDrpwUfDQvrOteqmdzhSsVNJDUb,LSCnepMmMUvWIuXAyrwrzzYeVJJCoZeVKNtChJrXAxQLOtGkHAxwSfpQEU,,g
3743,gynyxz,333974909,n,czGcPgekYkzpiLFoKfXawtLAK,uxzloVjuyQGaN,k,YsbXPacLDnT
3744,xHPpHr,256237172,,LvTWghO,AswbEdGvx,vX,rrkJoQWBDUBhqUs
3745,aWgFC,129674006,,mkBMBVWGbVbu,krTjtPyyEKRSKbQGknkEwTjXtBcpBhsfFmBQKMvQbUHJTRriC,,prsYgn
3746,MB,220967844,DWMig,fVyJc,iLMrRJyqs,qcH,FdUuEJA
3747,,180166375,TgHlMCo,m,doefKBWrowxridDFacHEEMvsaczCqmsYYeRTmt,,fVIXMoOAYkR
3748,jfms,464295158,m,nyxdY,ZpFOjfxgsGGnorqQEhUIhSsEbjtdybWQxAuXfDDPa,EyV,dQe
3749,,783706702,JRO,qruKqqkvwXCdf,vdwicvETgVxHKvOLKoKjOoKtpHPlwXNzrpVcFzEndPUltrOfhbxpEJrCTBpayA,kn,gyfZxQEreiMLlhScf
3750,Tp,312500511,M,FrFuJBvWPRbZZmiYPQz,zWtWqcKMeGGNWEMxWPSuYTUyxwOVANQXbzraikIgGFVSjQXDEYgRofKIhXplSmDoTcaGCuzrgZXHwk,Ai,qJEMgYENFdWfxgJoC
3751,DzOdtXp,152329093,HVUzQ,eRRnHkwDNYqfRlL,PnkzQtnaNsiRYnfVOZ,Mb,DsrQLWBAsehTk
3752,MC,423401782,QJG,fbPOmeLEkFUNxjzrZkdMehT,AkkPooWtRUIeAWmoiEBfivtfUpLgITMWgNrZKnsDEwqtzBllaWIsmSGlgZzKDTGuylDsRACkgO,V,OrbHUXMaOmiWOrN
3753,UP,238635326,xDbBnTm,eXEqLJGKryBalELFAfgZEXvtspVPHbfAGtJEd,BVfgmrTBx,Cj,cEKanjvLHJBxuj
3754,DpYDWp,723778692,Yqq,BjOfhNIvJmCmBoJEuDPH,aZPkcboMoCyWSliTXtrMemVyXZuIn,,VaekuhkeA
3755,g,273905816,faY,syoGacNHEdyIpMwuPSiiAgxBaMYVbKboe,dEZAaMPxsLnitQFNYypnwpvpsNOcCkGsjGA,T,U
3756,VzP,585816084,,tIFbuOWxCacJJhCySurDwFwwcFJEVk,kGDMu,,IlkpWsPaRycSHtI
3757,wfs,249210056,WVf,,RIhXbkTZsAWplklhRBtJSCefl,r,iQbJAEYEmSGlHyzlJ
3758,WAC,647641999,uIFV,,miDKYWNMNUplSLwAYvtkyYdcwnzZtwCEaWatElmcBBspMSbmGbtounl,Y,tnvcrd
3759,Lt,491117579,bfZaI,SjZ,LMUhzwwQlpOwNEliuMvoCB,tTX,opF
3760,fdfQJnS,574906525,,qpQpkeyjLUJqkJTLKLFJxTdARYMplFsimNyPvpk,lnfPGWhgGZXHLkTbiLtqnTtVZAbVwqcEvxmAHASomTajgpiEhAFQ,GQX,ClDkqs
3761,vBKBTUP,526348440,FxkG,LXXVEgtTlZ,MaoObmmHByYhUGubNxFo,,knVhnYwkd
3762,Ymgfz,130731174,FbJHrwCp,,ZpbsExbHqlaqwXsqPPLYHsVzDyWFFWzxngfhnWRHCdGbBOOsKkglRjIOaXvwmZzhjiiNrdFBAuosv,E,HzyGbUSgEjyayErEMFq
3763,NMPooyR,651063819,XDF,IBPzEQJOZYZBhNrlpYwcRPKgef,dLzxlbUgPQjWmacMiaqcrJcidGKVmMMVpZhFSkFiIVxVekteILrzhvdzueSR,,gBLv
3764,,332580028,Eb,XrtZaOHfmjuMg,GalpfGqpvLUCLPAerFfJHzpwVSvYiaryFDqqcuMaABcMMiLiJGAuWomjz,a,
3765,,959652879,EeNuGM,doudnunZjRWTrHRTwxqRCBIDRUo,jDPBRYmEtVjLDInRLDSliUxkamHHosaib,,LQfjvwnz
3766,,542939140,l,fLYIBrFYNNDvTrKcCtqv,tSVYqccZMqjtsCOrUGCxDLIFcNaWGo,Taw,nmmgbuaeXm
3767,HRN,494842011,CK,qocvFPkuvtgwYkhSsvYMXw,PoHxSMXuhYxohVwaRCxIicXTiYDkLGtwkFuSlqXfkNvPeNMGqhafcTdttsmaI,,qmrWvEEptJQZZjukLPqv
3768,XO,837602166,,OuDObeJfubghZIZMXJbBUWmKbMfJdtJg,SkfHAAjTAtOnWetkeMlRhJoXEfzBfcTvENNwOGBQvrFXulHgUdfwkyostTYgSLLbInNWHVVpJznBEf,,HCQqDdFMVIjSei
3769,fkOpFzZ,970570339,AwhNb,UNTWEydGDFMsxU,qYtlREtQBsNIyuIJDTUuaTCbRZrrUBwsxLhRPeyTZYkowxbNYFS,,dIRVoMLFPcEeJQXsMxdE
3770,hLyZeX,820582058,PAOloP,qvvu,ruPbCzCqSbtZzSDt,l,
3771,siWmoMx,917324527,Ou,LKGWadxAVHjzIGHorNxQsghUmqFYpNWkP,bihvxLEFKdf,G,vORoQu
3772,h,903805361,ZRyn,fkkvLmrK,ObCObSEJAFdVsCHaDKWGYLIWbcUHJRoijcfMYlrhBqWFcNkfPtvrBUhmihgYlzMLCGAaNkOixI,Z,ZKslVx
3773,bCldxrE,999599010,gGH,xqjZowumCrCcLLNsQbBBiclSaXrUON,nmveTgeFtbkaiaSVAWGBY,,n
3774,uuw,419208331,kk,yAEDpdiboOSTaIOOaUPu,wlOlXofiA,fQr,IZKNBUsKQd
3775,BmVVwD,594641080,ndh,FILVxYyPyYTabBwQVsocGVHFejtrzgsoKoEWMHP,PClNXgaTFmnnaDEfzVpzvvqODjkrfIszezVwLkfPyQCFnUnbOOQOXLtdlKkEZWnxJWVYazCaeFhfxWPG,tt,wMaTY
3776,A,473112785,QVm,D,VGfbLjXSswWCkEZnDRFqCovjplBtNUZ,,tIxKENGtCkGRLRT
3777,s,559391780,POceBopV,jKjVqupphvxGWqLNrpcxBQQTjAlrcVO,UnKiUeJhSXJFEB,c,r
3778,,679811319,,nZHcEOQmJ,eLHLWZuoJyjcBPVdJBEUvbiTHnsLTCIEoSLXvQbuzIrorQSAoQIZgurwvMIGqWfDMNVpTfhrvZmiT,i,kS
3779,wBKm,155875014,ltBJlz,HfXcvfpStYaCmCZeMYkuMFvCUKYoybZD,ohllYgSWqlrmHNpFpn,,AhzvHfJJfpDwJA
3780,,503075092,uGkYJTPI,qFkZzuxZOpT,PZJmYbLjYemqTAlGFCziWrv,zj,yKWWKjawQJoQu
3781,dSUwv,765393096,k,SdNrA,zSkOLIgXJNHGcVpFTtOlEadYFHdnANuoARVrCQvgVErxlUOtwNr,KyU,iBgiv
3782,bDmsJT,705865712,efLYUSa,RgnfeiONsgvRuknXvHFyilyBeWaAafyjHspNOFiT,XNkNUWwhvBjHRxlywvQNrHVmKRZnlxPFKLYsBU,gsc,JDF
3783,,937541609,kNVWj,glz,OtEjFwAZViInoAryzndtEJkU,,b
3784,IxwabX,810795289,jMih,wQiqLuPPGQKOQIGKgSBuEVEVuqibdoZaNTkX,qCSqUFvkLHH,,jRabpyauyk
3785,,782307539,Vp,XDrDQuEBNxEaKAjwACkwiVnOAJJPgWCsvbApJ,ujoBiIGEJrfQhvADKTkQPrkvpNU,,hdpBKLsTppabLMXLVHy
3786,QBx,699594170,WqbpZaKc,YEaXrjRthmraYTkdawTfkbeZKDCAFKpfvIC,dPadv,hcy,pTPTAwH
3787,uRjABc,459690122,UXslX,bhs,vfenTmFsLcBKpkKaAPDiEskFgFUkBYguTwAhfDuvtvtDQ,HS,EICcnvcLAKGbIueMk
3788,iRUqfq,913499619,C,BKZdKPBk,HTdZAtmvMttDwNzpymCakxAxIeOUScTuEKtnNaSIpDSJtmAGLEXwmwwGhGbVNxmU,rU,SjLE
3789,t,956737360,KlMoGAH,kPBaaltPeyVyDiH,IHKOxdPqBQaKzBSRClVYoYehMnRhz,TsF,
3790,A,348612651,WqVC,cryZumwqQNVRyOFjwXmnFod,NTskYAUMKwHezJymoqysZpgDiDHaxktBicAspFIqXENmiZKlylYVbStrSSROuzOuiiGzUAGzA,rLS,OwVdPAEXfbwviIso
3791,q,350339752,Oyw,UemkKXcWdE,PnbXzkx,bm,fQoAalzfw
3792,eG,220259646,,xZfsA,EQrdqXNtYduqwkDuifTZNKgFxndILzucHxkUoNcLfQKEUESZFWvOGeII,Km,vt
3793,kocin,969840599,DDoRQ,swrzBBvLHunvtqNBoI,aJCAPgGUnsbczgwqKgElOCKVgpYtBXtcQmmfJWTHeViHcfgKyWGnfGBwoBOoAfkqCjMEYZiKm,IrV,vLtFSABqyrguLuKc
3794,VTCvXn,971976425,ewiWhGy,alSgPuWAkyXAzQz,mogue,,AShUINOTBAQL
3795,anfEusr,261416302,QiXhDYXO,zcTTaef,sWPQwpRarhOIEHzPtdCyIneeiGauaUglBWVOxkHAXlmxDolAiQ,,eJmZseavfPMeVYTVQK
3796,qiTbtDs,236226773,T,kSPfsxagDbAgSiPGWvSnSluysYDFxcf,TlkosIu,o,pyMoIZLHQ
3797,kXMGmq,661659022,ANuZVvaa,RLTHPrXyluaMSiyRSFbmXDcIfKgf,bKPhZYbLwuzilLVeduWBqbVnFmDdtmRyW,uuO,UqETkBOpBU
3798,U,136151963,MnSLNQ,iPBNfIxDGSRINZdPdjHBExGRLCo,oKtKRYyPhISwyPlbUUHpuceMqWhZfOnmvJKcAgrQFTsNblfjkIjXBDZjrbpssaLSUzz,UH,qzLSdNx
3799,YTvlt,652046900,PZ,rqJc,MFAjeweAgRrDQSTArQbKPGtiTVRkFjttrGoPrheLBvdszOqkzOvhInFEqdmZyu,,uvQLRgfSZfPwjlu
3800,BFFvQB,246362770,qPKMDa,QCdCwpSuerJblRvodQixJfXTRonfRFILM,fRcDvpopjTFhLOLXOJNxyxQRwzyxwVFIAieBjehAiULwgTkAYJEhlYMSd,NlJ,fnymrOXBprHnrjKjJJ
3801,LeVM,233213386,LaC,UVMAOQShZlSl,kYBWiNTXJiztEEfvJGf,R,gqlRLaDAO
3802,QB,437290645,Xb,jrYnAJQlRENufob,QOULwQVDrDzriXHNkJDDokzDHJALRvpXYXtiKcvItprmcVikjsGgFclcsQRDzuDkITmFJpFRzd,,LjMRcwALRQPJBgR
3803,m,596560065,,I,Sryj,xK,y
3804,QQ,905343387,XYYylVmh,iOZMIpUVstTgzNwKDYIWVYhDThBGSEhHPA,hPLnMbkIhqJLtjjTIKAtdWznKuVuVhrxNTgilnPYhsvKBEYrN,,AiEgdtVcUySVXCkGo
3805,vKcR,160638976,bTWJF,HBUmqYWZGXdtMaRJqxeCBy,apFmfIbeCjvwxzLOoPYPNzalHzOSlttYLqvGVDjreiRIKQvUsoSDPlydlFYiHhFrkzALkKTCka,BpN,LRWNOyxbcgQ
3806,fHFC,828191294,ITdQ,cYttzBfN,HHGDOYFjjTbPPuyIJGRyhevdhxhrlEJiPsvZt,CG,HfARniP
3807,REFSI,336610878,OF,DeULDrIClQsYRjwhtw,elTbdUQADmsPwqinyHjYxpHroiz,lz,MaNGXxPxdKHPtD
3808,ThysXo,414627195,FrnEo,aJaAHrtOrySrGpRbpZrnGMxCWOxvRk,dGjkTNcMknZtZwfzaUpiKAFrrUiqVwUnBNNjEWMIlgQbjHIpyoGxe,rvP,PELymlKoTlFUFsFBl
3809,AAz,175513745,g,GCHNnNlwbbisrBNoiaSm,lZMRrAbvENENevbfsvxGXJaJAnLiodCCMXeyIpwSAQl,RO,dZoilMHfMZVvf
3810,diXtLsF,172653791,qTDkyp,jjHD,vlATtplgMlZurFNBMNxfRGmlRCZAsoeaSuTlbSeITbfmAyGtGUQMzFcriqL,,rpWLRINQxlB
3811,XGuS,268265162,NXVLjT,FMMdmjsOb,pmQTgTfgwTZPPqrmAVZMFKseCQnCqkbZDqbriWyrGMhuwnQFHWFUgrhwEcCwYsaRAhvlYuktZZJQxD,,nfGVxuyQWqrAVB
3812,MglHU,539763402,myttYvbO,miNyfUQxkyn,BocD,,yNkDwr
3813,KeDO,798114686,oqZKQ,oJkTyhWc,dlFeyBeWGhAtBcWtcUVIuqSBufwAIMgAylK,ATm,EbiSxiRUjHyFhPPoF
3814,Lo,677482988,gEvOi,N,wHfTXEStXEvjlkckhRrufvzFQyPsVPkDiwlEcMRTAAnpzrwfkmeoQEljPUBVsfvoOHGwsrliNRkN,rpu,LardYEirc
3815,PEipceQ,928320529,jNstip,gZTIerFbWowusyyDLXmvWQ,yFZDfBEtsxHdaJOZmUHrNhjLrhZSqYPcwSiAOi,E,ser
3816,ZZvVsOQ,432566659,RdhN,HIBnzKuuPJYrXjxBythWuARBcqOVRg,SaovLLX,vUP,
3817,,388253054,LjNGwNTZ,ofbZJYZwelzpkbvPMVQQwYJszYDDCOWqtiQ,yRXMZRdCACuHVHvKrpfAEGCoSmWtSMQKACQsPGLOqpwJMbEINqTAEPydpMstr,BD,SyZuNGDDKDMA
3818,a,358950655,d,QFNLNJTdWWAYxiWFsIgxwmISQPUsYDaSNHgr,BXxCMtwtsqPCRzAnkRsHvlPhxiygwziIqaQYXiOwqycnBljVjuoaZHgUXQKXeF,UT,CdbzgqLhjaVff
3819,JF,300169140,KFEVi,BZYGnFGnRyaegeEUCXin,UORDlBaMphYcwckknJpNFKWWMxodkwqdIXYydaHIzgS,p,RTjFy
3820,,803434194,CkQ,oKDCTREdwoGkNZbcIkXJspiZtofGjSiKclYZ,cmXZsYtIqWNrCWOBhQqsGjLtdeNUIJmtzMSFnzToGdmaXwRwE,S,Yd
3821,Z,484572751,xGEvGN,NHiguWlVmNMjjzeKnbZWGlbmTpLAY,LELKNeOfJJMNqqyAybdrlIQTkqnmhDSLSFDGUFklQnGJGqcDrcl,,ENbKw
3822,BRUEQD,763048985,PyaZ,zpyVbviffhkeoOnFcQYjaggtoRpNQl,ZTFRLRESYblZwIueJkriGKYULbtUdfLnYqjOCXchvgIhEYBSk,j,QHjiVy
3823,zW,248826550,HC,HMxZW,pkCriwILrlPAfyzqORbrcpDfugEPUkOkkTsSsOAacaGndEMXRyErRnrwddPkXhwVcGYnqVt,,hHjEsRJFfEMjXsUl
3824,wMW,933881746,sjYb,SfrkqFQYIcVOAzik,TAcjPmwsq,Vry,dlxkOBFVhExTncGw
3825,x,665986075,oFpCrsCb,Ph,duxGMqNykxRDGMeQhSVzolgBcAcVjZVbUbMA,R,lsKgto
3826,pFju,263045501,rKSZu,TWCEKblyKpUCKKsSeyRwdtjsvJEhbkWtlEYXQnB,nMVRazhcsxIGiTcsHjQt,eK,hWq
3827,iaql,712329283,n,gkRAJoUxWWKAWNuLQKebSGqxAfRGLbLQmqD,WQArBSLdOWxGtjtnohKOEYgRhVcnXrTntyJRCmUTmoaWqquqnOgCyDlBZpKZKrdEIntllTFNUA,sX,jARxPovN
3828,XWZNhQa,205282620,lLXM,MbeUGQRlFATVCENKq,KhfMqiHIOnqMRpfGDAJKkWhkdEhq,oX,BjsgXKHTxSXgqEtn
3829,NHfXmk,274436026,koF,uFHKsyAhcUTumpIMrxFT,ZXBMhmOYAHaBgcrZNviSkwkkCPgNgbiweXXDtmCrMrVwNxOLNfRFJChsLhDmqtQgIgOdx,gm,aNCRcfZMOXytObej
3830,RTM,469433204,qTtM,GnezjhLzfAqD,wWvBVPoVetAPebUYZWAZOKTSNrIrDHvfxXqjLplbSlYAHvcHmmaiHl,Cg,xN
3831,ZfThoI,729924079,d,JdEbQrgLKjRHzeYxkSFLLweWDdgsaURldzZ,HDFNWfhSknecoqyofLNbDGNvOAASVrqilVWabBVbpZIYpFZbPAKUlf,T,gLaZxzWsuCqtMcO
3832,IyIl,243161561,v,avULzxnbxGtnCEawfiGBGBo,HVMxioPalwhjHhccaYwwOBLvPgPELPEEgZRBAWctoWISPFivy,,gBpjfHbKxOWeocDXBAIF
3833,,518085716,sVyHqc,kNAhVzNzcvCPujOLiCsiEzHXFskPqcMzEzomGp,vEQsnGJLVN,,V
3834,oOv,121699640,yXYTP,VaAzqX,BPwllkpPJmWcFTOJcfIIwayOMzIKHMWweJlQMGWqhHLLwBlYYEfijMFHhgfRiqwCWVsJHtzGvOcu,ZTd,eDDOBA
3835,vV,990951241,,BruZBJUGyFISCLbpegGMj,rIfuUVGrwNyzemkKsZenzwBWRdyZ,ozI,AMmER
3836,WLhvZV,189213972,oSsI,QehlYSqbewJhKanN,lUbotDTCvyUMnrsPXwDVIsUcIsrYEVUGjkRTIPHOKNTlXPMhLJ,,KVWnTZvdOPnrjQmX
3837,pS,787380810,pDtS,KwsoozRhednTOJU,WoyCAjTFNGSKBlAsyMgYEi,syu,txKFiZsCpYSe
3838,CMnusCl,148171114,TbuEua,wAaQaYVvVBDvmfqnzrqejkiXY,GGrmSellRGpXhRmdRNElfcovzpbsWreQpCCEzSXm,ECN,uOKAhMBcLWiQlcd
3839,xvL,805429905,pJ,hjJ,AraCzlKEGDvdstuBBUHTlxlNBUEgQdtcBJeGOsa,dL,ywXzElafvRU
3840,IPpLI,512245308,mwShGcM,aLihVQowzmfhfSVUcvkJyYFgnIw,owFARytcLNCtEEZMoMymIBYFNo,g,PkecdXJPPnxHNggd
3841,Lp,657094960,KnrtlIuk,BOLSfWyaohianrlaSOOvrJa,jtBNSOfqrsSNmyQtUCCYvSUjiNHfFnifbhobXovQcksdxYijVFUSQJOIveSRjfkmyliWjgvsPrYISMFS,akK,hdAcdbNViwVUJ
3842,hNXa,655738457,cazv,wuYVipfUwvBoqDWeWpOelUOCXhcKXlWpgCyH,FpbYcLszpBHseQivgbttoeeEVtWpXFAVTPjXNMNbHNnpobLIDrPNSIcGzwhsCkNVzsFspdmlaHhjhBRH,r,AvusVcOIAj
3843,tL,390547149,,esDjlEqxQEsqUZydIIuvjzrJfwaFJWsQkuxVDLYg,UmcoLhZwUYywsjerYTqVBxIhUIpYMqXbarvAqvdDMtFHivfZcgj,C,kqeCWqDqBhUT
